Team,Season,id,firstName,lastName,sweaterNumber,positionCode,city,country,latitude,longitude
WPG,20242025,8476392,Adam,Lowry,17,C,St. Louis,USA,38.6280278,-90.1910154
OTT,20242025,8476393,Nick,Cousins,21,C,Belleville,CAN,44.1633264,-77.3852556
CGY,20242025,8476399,Blake,Coleman,20,C,Plano,USA,33.0136764,-96.6925096
STL,20242025,8476412,Jordan,Binnington,50,G,Richmond Hill,CAN,43.8801166,-79.4392925
NYI,20242025,8476419,Jean-Gabriel,Pageau,44,C,Ottawa,CAN,45.4208777,-75.6901106
NYI,20242025,8476422,Mike,Reilly,2,D,Chicago,USA,41.8755616,-87.6244212
NYI,20242025,8476429,Scott,Mayfield,24,D,St. Louis,USA,38.6280278,-90.1910154
CBJ,20242025,8476432,Boone,Jenner,38,C,Dorchester,CAN,45.8992863,-64.5170033
ANA,20242025,8476434,John,Gibson,36,G,Pittsburgh,USA,40.4416941,-79.9900861
STL,20242025,8476438,Brandon,Saad,20,L,Pittsburgh,USA,40.4416941,-79.9900861
LAK,20242025,8476441,Joel,Edmundson,6,D,Brandon,CAN,49.8511143,-99.9608924
PIT,20242025,8476442,Matt,Nieto,83,L,Long Beach,USA,33.7690164,-118.191604
TBL,20242025,8476453,Nikita,Kucherov,86,R,Maykop,RUS,44.6062079,40.104053
EDM,20242025,8476454,Ryan,Nugent-Hopkins,93,C,Burnaby,CAN,49.2433804,-122.972545
CGY,20242025,8476456,Jonathan,Huberdeau,10,C,Saint-Jerome,CAN,45.7780402,-74.0033272
SEA,20242025,8476457,Adam,Larsson,6,D,Skelleftea,SWE,64.7520185,20.959339
ANA,20242025,8476458,Ryan,Strome,16,C,Mississauga,CAN,43.5896231,-79.6443879
NYR,20242025,8476459,Mika,Zibanejad,93,C,Stockholm,SWE,59.3251172,18.0710935
WPG,20242025,8476460,Mark,Scheifele,55,C,Kitchener,CAN,43.451291,-80.4927815
PHI,20242025,8476461,Sean,Couturier,14,C,Phoenix,USA,33.4484367,-112.074141
NJD,20242025,8476462,Dougie,Hamilton,7,D,Toronto,CAN,43.6534817,-79.3839347
MIN,20242025,8476463,Jonas,Brodin,25,D,Karlstad,SWE,59.3809146,13.5027631
SEA,20242025,8476467,Jamie,Oleksiak,24,D,Toronto,CAN,43.6534817,-79.3839347
VAN,20242025,8476468,J.T.,Miller,9,C,East Palestine,USA,40.8339509,-80.5403469
MTL,20242025,8476469,Joel,Armia,40,R,Pori,FIN,61.4866126,21.7972071
CHI,20242025,8476473,Connor,Murphy,5,D,Dublin,USA,40.0996009,-83.1135563
NJD,20242025,8476474,Stefan,Noesen,11,R,Plano,USA,33.0136764,-96.6925096
LAK,20242025,8476479,Phillip,Danault,24,C,Victoriaville,CAN,46.0554948,-71.9598586
WPG,20242025,8476480,Vladislav,Namestnikov,7,C,Zhukovskiy,RUS,53.8907473,59.0129537
PIT,20242025,8476483,Rickard,Rakell,67,R,Sundbyberg,SWE,59.3628802,17.9681359
WPG,20242025,8476525,Colin,Miller,6,D,Sault Ste. Marie,CAN,46.5126554,-84.3330301
NSH,20242025,8476539,Jonathan,Marchessault,81,C,Cap-Rouge,CAN,46.747389,-71.352425
SJS,20242025,8476624,Barclay,Goodrow,23,R,Toronto,CAN,43.6534817,-79.3839347
TBL,20242025,8476822,Luke,Glendening,11,C,Grand Rapids,USA,42.9632425,-85.6678639
SEA,20242025,8476826,Yanni,Gourde,37,C,Saint-Narcisse,CAN,46.564054,-72.472
TOR,20242025,8476853,Morgan,Rielly,44,D,Vancouver,CAN,49.2608724,-123.113952
BOS,20242025,8476854,Hampus,Lindholm,27,D,Helsingborg,SWE,56.0442098,12.703706
DAL,20242025,8476856,Mathew,Dumba,3,D,Regina,CAN,50.4479733,-104.6158764
NSH,20242025,8476869,Brady,Skjei,76,D,Lakeville,USA,44.650051,-93.2432791
VGK,20242025,8476871,Tanner,Pearson,70,L,Kitchener,CAN,43.451291,-80.4927815
PHI,20242025,8476872,Scott,Laughton,21,C,Oakville,CAN,43.447436,-79.666672
NSH,20242025,8476873,Mark,Jankowski,17,C,Hamilton,CAN,43.2560802,-79.8728583
DET,20242025,8476874,Olli,Maatta,2,D,Jyväskylä,FIN,62.2417066,25.7495727
MTL,20242025,8476875,Mike,Matheson,8,D,Pointe-Claire,CAN,45.4566767,-73.8067442
TBL,20242025,8476878,Zemgus,Girgensons,28,C,Riga,LAT,56.9493977,24.1051846
SJS,20242025,8476879,Cody,Ceci,4,D,Ottawa,CAN,45.4208777,-75.6901106
WSH,20242025,8476880,Tom,Wilson,43,R,Toronto,CAN,43.6534817,-79.3839347
VGK,20242025,8476881,Tomas,Hertl,48,C,Praha,CZE,50.0596288,14.4464593
CHI,20242025,8476882,Teuvo,Teravainen,86,C,Helsinki,FIN,60.1674881,24.9427473
TBL,20242025,8476883,Andrei,Vasilevskiy,88,G,Tyumen,RUS,57.153534,65.542274
NYR,20242025,8476885,Jacob,Trouba,8,D,Rochester,USA,43.157285,-77.615214
NSH,20242025,8476887,Filip,Forsberg,9,L,Ostervala,SWE,60.1809325,17.1780842
STL,20242025,8476889,Radek,Faksa,12,C,Vitkov,CZE,49.7758144,17.7517864
